Home Team,Away Team,FH Goals,SH Goals,20 Min Score,Goals Scored (20),1+ More Goals By FT (20),2+ More Goals By FT (20),3+ More Goals By FT (20),1+ More Goals By HT (20),30 Min Score,Goals Scored (30),1+ More Goals By FT (30),2+ More Goals By FT (30),3+ More Goals By FT (30),1+ More Goals By HT (30),60 Min Score,Goals Scored (60),1+ More Goals By FT (60),2+ More Goals By FT (60),70 Min Score,Goals Scored (70),1+ More Goals By FT (70),2+ More Goals By FT (70),80 Min Score,Goals Scored (80),1+ More Goals By FT (80)
Chelsea,Tottenham,0,2,0 - 0,0,1,1,0,0,0 - 0,0,1,1,0,0,2 - 0,2,0,0,2 - 0,2,0,0,2 - 0,2,0
Crystal Palace,Liverpool,2,2,0 - 1,1,1,1,1,1,0 - 1,1,1,1,1,1,1 - 2,3,1,0,1 - 2,3,1,0,1 - 2,3,1
Leicester,Brighton,0,2,0 - 0,0,1,1,0,0,0 - 0,0,1,1,0,0,1 - 0,1,1,0,1 - 0,1,1,0,1 - 0,1,1
Southampton,Man City,1,1,1 - 0,1,1,0,0,0,1 - 0,1,1,0,0,0,1 - 0,1,1,0,1 - 1,2,0,0,1 - 1,2,0
Brentford,Wolves,0,3,0 - 0,0,1,1,1,0,0 - 0,0,1,1,1,0,0 - 1,1,1,1,0 - 1,1,1,1,1 - 2,3,0
Leeds,Newcastle,0,1,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0 - 0,0,1,0,0 - 1,1,0
Man Utd,West Ham,0,1,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0 - 0,0,1,0,0 - 0,0,1
Everton,Aston Villa,1,0,0 - 0,0,1,0,0,1,0 - 0,0,1,0,0,1,0 - 1,1,0,0,0 - 1,1,0,0,0 - 1,1,0
Watford,Norwich,0,3,0 - 0,0,1,1,1,0,0 - 0,0,1,1,1,0,0 - 1,1,1,1,0 - 1,1,1,1,0 - 2,2,1
Brentford,Man Utd,0,4,0 - 0,0,1,1,1,0,0 - 0,0,1,1,1,0,0 - 1,1,1,1,0 - 2,2,1,1,0 - 3,3,1
Leicester,Tottenham,2,3,0 - 0,0,1,1,1,1,1 - 0,1,1,1,1,1,1 - 1,2,1,1,1 - 1,2,1,1,2 - 1,3,1
Brighton,Chelsea,1,1,0 - 0,0,1,1,0,1,0 - 1,1,1,0,0,0,1 - 1,2,0,0,1 - 1,2,0,0,1 - 1,2,0
Liverpool,Brentford,1,2,0 - 0,0,1,1,1,1,0 - 0,0,1,1,1,1,1 - 0,1,1,1,2 - 0,2,1,0,3 - 0,3,0
